id,title,url,num_points,num_comments,author,created_at
12224879,Interactive Dynamic Video,http://www.interactivedynamicvideo.com/,386,52,ne0phyte,8/4/2016 11:52
11964716,Florida DJs May Face Felony for April Fools' Water Joke,http://www.thewire.com/entertainment/2013/04/florida-djs-april-fools-water-joke/63798/,2,1,vezycash,6/23/2016 22:20
11919867,Technology ventures: From Idea to Enterprise,https://www.amazon.com/Technology-Ventures-Enterprise-Thomas-Byers/dp/0073523429,3,1,hswarna,6/17/2016 0:01
10301696,Note by Note: The Making of Steinway L1037 (2007),http://www.nytimes.com/2007/11/07/movies/07stein.html?_r=0,8,2,walterbell,9/30/2015 4:12
10482257,Title II kills investment? Comcast and other ISPs are now spending more,http://arstechnica.com/business/2015/10/comcast-and-other-isps-boost-network-investment-despite-net-neutrality/,53,22,Deinos,10/31/2015 9:48
10557283,Nuts and Bolts Business Advice,,3,4,shomberj,11/13/2015 0:45
12296411,Ask HN: How to improve my personal website?,,2,6,ahmedbaracat,8/16/2016 9:55
11337617,"Shims, Jigs and Other Woodworking Concepts to Conquer Technical Debt",http://firstround.com/review/shims-jigs-and-other-woodworking-concepts-to-conquer-technical-debt/,34,7,zt,3/22/2016 16:18
10379326,That self-appendectomy,http://www.southpolestation.com/trivia/igy1/appendix.html,91,10,jimsojim,10/13/2015 9:30
11370829,Crate raises $4M seed round for its next-gen SQL database,http://techcrunch.com/2016/03/15/crate-raises-4m-seed-round-for-its-next-gen-sql-database/,3,1,hitekker,3/27/2016 18:08
11665197,Advertising Cannot Maintain the Internet. Heres the Secret Sauce Solution,http://evonomics.com/advertising-cannot-maintain-internet-heres-solution/,2,1,dredmorbius,5/10/2016 4:46
11981466,Coding Is Over,https://medium.com/@loorinm/coding-is-over-6d653abe8da8,18,14,prostoalex,6/26/2016 16:36
10627194,Show HN: Wio Link  ESP8266 Based Web of Things Hardware Development Platform,https://iot.seeed.cc,26,22,kfihihc,11/25/2015 14:03
11587596,Custom Deleters for C++ Smart Pointers,http://www.bfilipek.com/2016/04/custom-deleters-for-c-smart-pointers.html,59,18,ingve,4/28/2016 10:01
12335860,How often to update third party libraries?,,7,5,rabid_oxen,8/22/2016 12:37
11403750,Review my AI based marketing bot,http://beta.crowdfireapp.com/?beta=agnipath,1,2,abhishekmaddy,4/1/2016 9:45
10610020,Ask HN: Am I the only one outraged by Twitter shutting down share counts?,,28,29,tkfx,11/22/2015 13:43
10837634,"Ten years later, did Boston's Big Dig deliver?",https://www.bostonglobe.com/magazine/2015/12/29/years-later-did-big-dig-deliver/tSb8PIMS4QJUETsMpA7SpI/story.html,109,116,jseliger,1/4/2016 18:58
12121216,Valid.ly  Never send another OOPS message,https://www.valid.ly,1,1,validly,7/19/2016 12:05
11079821,APOD: LIGO detects gravity waves...,http://apod.nasa.gov/apod/astropix.html,1,2,AliCollins,2/11/2016 12:57
11007942,Typeplate: a typographic starter kit encouraging great type on the web,http://typeplate.com/,68,13,Tomte,1/31/2016 20:38
11610310,Ask HN: Aby recent changes to CSS that broke mobile?,,1,1,polskibus,5/2/2016 10:14
10712549,Streamroot makes video streaming cheaper thanks to peer-to-peer,http://techcrunch.com/2015/12/10/streamroot-makes-video-streaming-cheaper-thanks-to-peer-to-peer/,11,2,Rodi,12/10/2015 18:58
10978069,VMware Confirms Layoffs as It Prepares for Dell Acquisition,http://techcrunch.com/2016/01/26/vmware-confirms-layoffs-in-earnings-statement-as-it-prepares-for-dell-acquisition/,170,112,walterclifford,1/27/2016 3:47
12023949,Firmware exploit can defeat new Windows security features on Lenovo ThinkPads,http://www.pcworld.com/article/3091104/firmware-exploit-can-defeat-new-windows-security-features-on-lenovo-thinkpads.html#jump,15,4,walterbell,7/2/2016 22:08
